tile_id,row,col,expected_filename,batch_id,expected_width,expected_height,expected_crs,expected_pixel_size_x,expected_pixel_size_y,expected_band_count,expected_band_order,expected_dtype,expected_nodata,status
SULSEL_R006_C002,6,2,SULSEL_2021_SULSEL_R006_C002_S2WC_V1.tif,batch_05,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R006_C003,6,3,SULSEL_2021_SULSEL_R006_C003_S2WC_V1.tif,batch_05,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R006_C004,6,4,SULSEL_2021_SULSEL_R006_C004_S2WC_V1.tif,batch_05,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R006_C005,6,5,SULSEL_2021_SULSEL_R006_C005_S2WC_V1.tif,batch_06,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R006_C006,6,6,SULSEL_2021_SULSEL_R006_C006_S2WC_V1.tif,batch_06,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R007_C004,7,4,SULSEL_2021_SULSEL_R007_C004_S2WC_V1.tif,batch_06,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R007_C005,7,5,SULSEL_2021_SULSEL_R007_C005_S2WC_V1.tif,batch_06,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R007_C006,7,6,SULSEL_2021_SULSEL_R007_C006_S2WC_V1.tif,batch_06,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R008_C003,8,3,SULSEL_2021_SULSEL_R008_C003_S2WC_V1.tif,batch_07,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R008_C004,8,4,SULSEL_2021_SULSEL_R008_C004_S2WC_V1.tif,batch_07,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R008_C005,8,5,SULSEL_2021_SULSEL_R008_C005_S2WC_V1.tif,batch_07,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R008_C006,8,6,SULSEL_2021_SULSEL_R008_C006_S2WC_V1.tif,batch_07,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R009_C003,9,3,SULSEL_2021_SULSEL_R009_C003_S2WC_V1.tif,batch_07,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R009_C004,9,4,SULSEL_2021_SULSEL_R009_C004_S2WC_V1.tif,batch_08,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R009_C005,9,5,SULSEL_2021_SULSEL_R009_C005_S2WC_V1.tif,batch_08,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R009_C006,9,6,SULSEL_2021_SULSEL_R009_C006_S2WC_V1.tif,batch_08,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R009_C007,9,7,SULSEL_2021_SULSEL_R009_C007_S2WC_V1.tif,batch_08,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R009_C008,9,8,SULSEL_2021_SULSEL_R009_C008_S2WC_V1.tif,batch_08,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,AUDITED_PASS
SULSEL_R010_C004,10,4,SULSEL_2021_SULSEL_R010_C004_S2WC_V1.tif,batch_09,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R010_C005,10,5,SULSEL_2021_SULSEL_R010_C005_S2WC_V1.tif,batch_09,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R010_C006,10,6,SULSEL_2021_SULSEL_R010_C006_S2WC_V1.tif,batch_09,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R010_C007,10,7,SULSEL_2021_SULSEL_R010_C007_S2WC_V1.tif,batch_09,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R010_C008,10,8,SULSEL_2021_SULSEL_R010_C008_S2WC_V1.tif,batch_09,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R010_C009,10,9,SULSEL_2021_SULSEL_R010_C009_S2WC_V1.tif,batch_10,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R011_C004,11,4,SULSEL_2021_SULSEL_R011_C004_S2WC_V1.tif,batch_10,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R011_C005,11,5,SULSEL_2021_SULSEL_R011_C005_S2WC_V1.tif,batch_10,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R011_C006,11,6,SULSEL_2021_SULSEL_R011_C006_S2WC_V1.tif,batch_10,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R011_C007,11,7,SULSEL_2021_SULSEL_R011_C007_S2WC_V1.tif,batch_10,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R011_C008,11,8,SULSEL_2021_SULSEL_R011_C008_S2WC_V1.tif,batch_11,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R011_C009,11,9,SULSEL_2021_SULSEL_R011_C009_S2WC_V1.tif,batch_11,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R012_C004,12,4,SULSEL_2021_SULSEL_R012_C004_S2WC_V1.tif,batch_11,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R012_C005,12,5,SULSEL_2021_SULSEL_R012_C005_S2WC_V1.tif,batch_11,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
SULSEL_R012_C006,12,6,SULSEL_2021_SULSEL_R012_C006_S2WC_V1.tif,batch_11,5000,5000,EPSG:3857,10,-10,5,"B2,B3,B4,B8,label",float32,-9999,EXPECTED_PENDING
